scenario,series,series_label,p,true_mtd,true_mtd_label,correct_pct,too_high_pct,too_low_pct,mean_acute_tox,mean_subacute_tox,ever_reached_top_pct,sel_L0_pct,sel_L1_pct,sel_L2_pct,sel_L3_pct,sel_L4_pct
Acute middle,weight,Block discount (n and y scaled),1.0,3,L3 (5x7 Gy),41.5,3.0,55.50000000000001,2.894,1.984,5.7,0.0,3.6,51.9,41.5,3.0
Acute middle,attribution_override,Non-binary DLT + escalation override,0.0,3,L3 (5x7 Gy),49.2,37.0,13.8,4.684,3.297,73.9,0.0,0.5,13.3,49.2,37.0
Acute middle,attribution_override,Non-binary DLT + escalation override,0.05,3,L3 (5x7 Gy),51.3,32.4,16.3,4.629,3.326,72.6,0.0,0.5,15.8,51.3,32.4
Acute middle,attribution_override,Non-binary DLT + escalation override,0.1,3,L3 (5x7 Gy),50.5,33.5,16.0,4.569,3.243,74.2,0.0,0.7000000000000001,15.3,50.5,33.5
Acute middle,attribution_override,Non-binary DLT + escalation override,0.25,3,L3 (5x7 Gy),53.1,28.5,18.4,4.26,3.164,66.10000000000001,0.0,0.2,18.2,53.1,28.5
Acute middle,attribution_override,Non-binary DLT + escalation override,0.5,3,L3 (5x7 Gy),52.3,16.400000000000002,31.3,3.697,2.612,38.8,0.0,1.1,30.2,52.3,16.400000000000002
Acute middle,attribution_override,Non-binary DLT + escalation override,1.0,3,L3 (5x7 Gy),41.4,6.0,52.6,3.139,2.189,23.200000000000003,0.0,2.7,49.9,41.4,6.0
Acute high,attribution,"Non-binary DLT (n full, y scaled)",0.0,2,L2 (5x6 Gy),29.0,69.1,1.9,5.151,3.068,59.6,0.0,1.9,29.0,44.5,24.6
Acute high,attribution,"Non-binary DLT (n full, y scaled)",0.05,2,L2 (5x6 Gy),29.9,68.8,1.3,5.154,3.002,56.7,0.0,1.3,29.9,49.3,19.5
Acute high,attribution,"Non-binary DLT (n full, y scaled)",0.1,2,L2 (5x6 Gy),29.5,68.4,2.1,4.989,2.978,56.39999999999999,0.0,2.1,29.5,48.5,19.9
Acute high,attribution,"Non-binary DLT (n full, y scaled)",0.25,2,L2 (5x6 Gy),37.2,60.3,2.5,4.801,2.8,44.1,0.0,2.5,37.2,46.0,14.3
Acute high,attribution,"Non-binary DLT (n full, y scaled)",0.5,2,L2 (5x6 Gy),47.5,48.6,3.9,4.27,2.464,18.2,0.0,3.9,47.5,42.7,5.9
Acute high,attribution,"Non-binary DLT (n full, y scaled)",1.0,2,L2 (5x6 Gy),64.1,29.1,6.800000000000001,3.46,1.994,2.2,0.0,6.800000000000001,64.1,27.700000000000003,1.4
Acute high,weight,Block discount (n and y scaled),0.0,2,L2 (5x6 Gy),36.0,59.8,4.2,4.7,2.793,59.4,0.0,4.2,36.0,40.2,19.6
Acute high,weight,Block discount (n and y scaled),0.05,2,L2 (5x6 Gy),39.0,55.3,5.7,4.551,2.661,50.7,0.0,5.7,39.0,37.9,17.4
Acute high,weight,Block discount (n and y scaled),0.1,2,L2 (5x6 Gy),40.8,53.900000000000006,5.3,4.423,2.608,41.9,0.0,5.3,40.8,40.6,13.3
Acute high,weight,Block discount (n and y scaled),0.25,2,L2 (5x6 Gy),43.8,50.2,6.0,4.132,2.317,30.4,0.0,6.0,43.8,39.2,11.0
Acute high,weight,Block discount (n and y scaled),0.5,2,L2 (5x6 Gy),52.900000000000006,41.3,5.800000000000001,3.877,2.165,16.2,0.0,5.800000000000001,52.900000000000006,34.9,6.4
Acute high,weight,Block discount (n and y scaled),1.0,2,L2 (5x6 Gy),65.4,27.4,7.199999999999999,3.451,1.964,2.0,0.0,7.199999999999999,65.4,27.0,0.4
Acute high,attribution_override,Non-binary DLT + escalation override,0.0,2,L2 (5x6 Gy),27.3,71.6,1.1,5.249,3.039,65.7,0.0,1.1,27.3,48.7,22.9
Acute high,attribution_override,Non-binary DLT + escalation override,0.05,2,L2 (5x6 Gy),27.6,70.5,1.9,5.121,2.93,63.8,0.0,1.9,27.6,46.5,24.0
Acute high,attribution_override,Non-binary DLT + escalation override,0.1,2,L2 (5x6 Gy),29.4,69.5,1.1,5.056,3.044,64.0,0.0,1.1,29.4,49.8,19.7
Acute high,attribution_override,Non-binary DLT + escalation override,0.25,2,L2 (5x6 Gy),32.9,63.7,3.4000000000000004,4.923,2.806,52.900000000000006,0.0,3.4000000000000004,32.9,49.5,14.2
Acute high,attribution_override,Non-binary DLT + escalation override,0.5,2,L2 (5x6 Gy),44.4,51.8,3.8,4.309,2.413,24.4,0.0,3.8,44.4,44.7,7.1
Acute high,attribution_override,Non-binary DLT + escalation override,1.0,2,L2 (5x6 Gy),62.3,30.0,7.7,3.656,2.023,12.0,0.0,7.7,62.3,28.5,1.5
Acute steep,attribution,"Non-binary DLT (n full, y scaled)",0.0,2,L2 (5x6 Gy),21.3,78.60000000000001,0.1,5.318,3.166,70.39999999999999,0.0,0.1,21.3,60.8,17.8
