state,n_L1,y_L1,post_mean_L0,post_mean_L1,post_mean_L2,post_mean_L3,post_mean_L4,p_over_target_L0,p_over_target_L1,p_over_target_L2,p_over_target_L3,p_over_target_L4,rule_argmin,rule_highest_below
"6 patients, 1 DLT (July state)",6,1,0.08236162635644753,0.15651216640413002,0.2548911579748635,0.3717158230850356,0.49159749329134084,0.046117318994915286,0.20389886907673194,0.53317012082926,0.8516825968192474,0.9797988683983793,1,1
"9 patients, 1 DLT (current state)",9,1,0.053866536651020605,0.11538455608900887,0.20484794338417617,0.31843387978893406,0.4407858714837806,0.010472970426530285,0.0910595840096216,0.38104355815041174,0.7786766506527943,0.9684032870315942,2,1
"9 patients, 0 DLT (counterfactual)",9,0,0.007190484623414943,0.020509574637090095,0.04740603924181463,0.09442822637110648,0.16333642476632645,0.00027731090148378927,0.004369767437034134,0.03569114922832254,0.14910790113545475,0.35417398627411306,4,4
"9 patients, 2 DLT (counterfactual)",9,2,0.11240905890731916,0.20353304307742864,0.31535179977967565,0.4386704975954951,0.5572171145332062,0.06452354608504215,0.3184827472183249,0.7481470734501765,0.9712524578359357,0.9993446085376576,1,0
"12 patients, 1 DLT (if L1 grew further)",12,1,0.03868148776368224,0.09109603559116898,0.17304577132669427,0.2826995813665672,0.40537881355207694,0.0022257911959344553,0.038784567911165815,0.2656227936083328,0.7065436628961292,0.9561033224950533,2,2
