step,history,cohort_dose,cohort_dlts,pm_L0,pm_L1,pm_L2,pm_L3,pm_L4,next_argmin,next_highest_below,next_argmin_label,next_highest_below_label
0,"9 pts at L1, 1 DLT",,,0.007190484623414943,0.020509574637090095,0.04740603924181463,0.09442822637110648,0.16333642476632645,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
1,9@L1 (1 DLT) + 3@L2,L2,0,0.003914966386649752,0.01296342707770711,0.03355776124776287,0.07302878324458577,0.13505082008566333,3,3,L3 (5x7 Gy),L3 (5x7 Gy)
2,9@L1 (1 DLT) + 3@L2 (0 DLT) + 3@L3,L3,0,0.001748798295960167,0.00693790127251592,0.020708721677569403,0.050576639475779867,0.10235227671318615,4,4,L4 (5x8 Gy),L4 (5x8 Gy)
2,9@L1 (1 DLT) + 3@L2 (0 DLT) + 3@L3,L3,1,0.010632110603188659,0.03333578301101024,0.07985636791571804,0.1579561071398194,0.2632655229306923,3,3,L3 (5x7 Gy),L3 (5x7 Gy)
2,9@L1 (1 DLT) + 3@L2 (0 DLT) + 3@L3,L3,2,0.024856127020538944,0.06570445469937546,0.1361372034301343,0.23774583469333602,0.35809958196989644,3,2,L3 (5x7 Gy),L2 (5x6 Gy)
2,9@L1 (1 DLT) + 3@L2 (0 DLT) + 3@L3,L3,3,0.044635841483903684,0.10319811835620223,0.19191606057749772,0.3068776723690647,0.43173051102505844,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
1,9@L1 (1 DLT) + 3@L2,L2,1,0.025552541195688616,0.06552073650531079,0.13379525933826905,0.23247654201530482,0.35031208265563524,3,2,L3 (5x7 Gy),L2 (5x6 Gy)
2,9@L1 (1 DLT) + 3@L2 (1 DLT) + 3@L3,L3,0,0.013978573816622953,0.0419089165753128,0.09628433438299294,0.18320733533517802,0.29525908217447044,3,3,L3 (5x7 Gy),L3 (5x7 Gy)
2,9@L1 (1 DLT) + 3@L2 (1 DLT) + 3@L3,L3,1,0.029000136802339625,0.07436240387618388,0.15004067030738955,0.2560603750780096,0.3785313046072236,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
2,9@L1 (1 DLT) + 3@L2 (1 DLT) + 3@L3,L3,2,0.04936986114291366,0.11166747418022327,0.2038970938773113,0.3210941451616587,0.4463470342798612,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
2,9@L1 (1 DLT) + 3@L2 (1 DLT) + 3@L3,L3,3,0.07516581511243535,0.15313234169575796,0.25781754631785414,0.38093487753635985,0.5048382703089535,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
1,9@L1 (1 DLT) + 3@L2,L2,2,0.055988002852861415,0.12121442817064208,0.21514287802960966,0.33249785218416966,0.4566672770962912,2,1,L2 (5x6 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (2 DLT) + 3@L2,L2,0,0.037564978586975765,0.09089788817813588,0.17488830225569593,0.28700914023138685,0.4115541714060651,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
2,9@L1 (1 DLT) + 3@L2 (2 DLT) + 3@L2,L2,1,0.06460095275672449,0.13716471149353687,0.2380575194993094,0.3598666400376179,0.4848669784263941,2,1,L2 (5x6 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (2 DLT) + 3@L2,L2,2,0.09726089100852525,0.18610296270286178,0.2981975135286578,0.42362545852768185,0.5450433386889555,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (2 DLT) + 3@L2,L2,3,0.13509981428473508,0.2370837793983988,0.355958851503575,0.4811202487650065,0.5968270503067783,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
1,9@L1 (1 DLT) + 3@L2,L2,3,0.09448568588811919,0.18027531229762164,0.2896371464944177,0.41349495643008394,0.5347902661462642,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (3 DLT) + 3@L1,L1,0,0.07133312158594941,0.14761087210970306,0.2512221468586947,0.3740869135092026,0.49846959083327763,2,1,L2 (5x6 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (3 DLT) + 3@L1,L1,1,0.11306492690345442,0.2081860983385166,0.3238886466139673,0.4497061696574597,0.5688670646085972,1,0,L1 (5x5 Gy),L0 (5x4 Gy)
2,9@L1 (1 DLT) + 3@L2 (3 DLT) + 3@L1,L1,2,0.15942514299916594,0.2679915825808673,0.38942467401021547,0.513274861940567,0.6250380870704272,0,0,L0 (5x4 Gy),L0 (5x4 Gy)
2,9@L1 (1 DLT) + 3@L2 (3 DLT) + 3@L1,L1,3,0.20968150254794746,0.3272093367159669,0.4500384403031765,0.5690787541359409,0.6724979353798847,0,0,L0 (5x4 Gy),L0 (5x4 Gy)
