scenario,ewoc,burn_in,simulation,true_mtd,closest_target_dose,selected_mtd,selected_without_final_ewoc,ewoc_final_downshift,additional_duration_weeks,total_duration_weeks,stopped_early,n_total,n_new,n_acute_tox,n_subacute_tox,any_acute_tox,any_subacute_tox,n_above_true_mtd,pct_above_true_mtd,n_L0,n_L1,n_L2,n_L3,n_L4,n_new_L0,n_new_L1,n_new_L2,n_new_L3,n_new_L4
Acute steep,EWOC during + final,False,104,2,3,3,3,0,96.0,120.0,False,30,24,3,3,True,True,18,60.0,0,6,6,18,0,0,0,6,18,0
Acute steep,EWOC during + final,False,105,2,3,2,3,1,96.0,120.0,False,30,24,4,2,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,106,2,3,2,2,0,96.0,120.0,False,30,24,5,1,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,107,2,3,2,3,1,96.0,120.0,False,30,24,3,1,True,True,6,20.0,0,6,18,6,0,0,0,18,6,0
Acute steep,EWOC during + final,False,108,2,3,2,3,1,96.0,120.0,False,30,24,4,4,True,True,15,50.0,0,6,9,15,0,0,0,9,15,0
Acute steep,EWOC during + final,False,109,2,3,2,3,1,96.0,120.0,False,30,24,3,2,True,True,6,20.0,0,6,18,6,0,0,0,18,6,0
Acute steep,EWOC during + final,False,110,2,3,2,3,1,96.0,120.0,False,30,24,3,3,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,111,2,3,2,2,0,96.0,120.0,False,30,24,5,1,True,True,12,40.0,0,6,12,12,0,0,0,12,12,0
Acute steep,EWOC during + final,False,112,2,3,2,2,0,96.0,120.0,False,30,24,3,3,True,True,0,0.0,0,9,21,0,0,0,3,21,0,0
Acute steep,EWOC during + final,False,113,2,3,2,2,0,96.0,120.0,False,30,24,2,0,True,False,0,0.0,0,15,15,0,0,0,9,15,0,0
Acute steep,EWOC during + final,False,114,2,3,2,3,1,96.0,120.0,False,30,24,4,1,True,True,6,20.0,0,9,15,6,0,0,3,15,6,0
Acute steep,EWOC during + final,False,115,2,3,3,3,0,96.0,120.0,False,30,24,3,2,True,True,15,50.0,0,6,9,15,0,0,0,9,15,0
Acute steep,EWOC during + final,False,116,2,3,3,3,0,96.0,120.0,False,30,24,2,2,True,True,21,70.0,0,6,3,21,0,0,0,3,21,0
Acute steep,EWOC during + final,False,117,2,3,3,3,0,96.0,120.0,False,30,24,3,0,True,False,18,60.0,0,6,6,18,0,0,0,6,18,0
Acute steep,EWOC during + final,False,118,2,3,3,4,1,96.0,120.0,False,30,24,4,5,True,True,21,70.0,0,6,3,9,12,0,0,3,9,12
Acute steep,EWOC during + final,False,119,2,3,2,3,1,96.0,120.0,False,30,24,5,2,True,True,15,50.0,0,6,9,12,3,0,0,9,12,3
Acute steep,EWOC during + final,False,120,2,3,2,3,1,96.0,120.0,False,30,24,3,1,True,True,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC during + final,False,121,2,3,2,2,0,96.0,120.0,False,30,24,3,1,True,True,0,0.0,0,18,12,0,0,0,12,12,0,0
Acute steep,EWOC during + final,False,122,2,3,2,3,1,96.0,120.0,False,30,24,4,1,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,123,2,3,2,3,1,96.0,120.0,False,30,24,4,5,True,True,15,50.0,0,6,9,15,0,0,0,9,15,0
Acute steep,EWOC during + final,False,124,2,3,2,2,0,96.0,120.0,False,30,24,2,3,True,True,0,0.0,0,9,21,0,0,0,3,21,0,0
Acute steep,EWOC during + final,False,125,2,3,3,3,0,96.0,120.0,False,30,24,3,0,True,False,12,40.0,0,6,12,12,0,0,0,12,12,0
Acute steep,EWOC during + final,False,126,2,3,2,2,0,96.0,120.0,False,30,24,5,3,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,127,2,3,3,3,0,96.0,120.0,False,30,24,3,1,True,True,18,60.0,0,6,6,18,0,0,0,6,18,0
Acute steep,EWOC during + final,False,128,2,3,2,2,0,96.0,120.0,False,30,24,5,3,True,True,3,10.0,0,9,18,3,0,0,3,18,3,0
Acute steep,EWOC during + final,False,129,2,3,2,3,1,96.0,120.0,False,30,24,4,0,True,False,12,40.0,0,6,12,12,0,0,0,12,12,0
Acute steep,EWOC during + final,False,130,2,3,2,2,0,96.0,120.0,False,30,24,4,2,True,True,3,10.0,0,12,15,3,0,0,6,15,3,0
Acute steep,EWOC during + final,False,131,2,3,3,3,0,96.0,120.0,False,30,24,3,0,True,False,15,50.0,0,6,9,15,0,0,0,9,15,0
Acute steep,EWOC during + final,False,132,2,3,2,3,1,96.0,120.0,False,30,24,3,5,True,True,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC during + final,False,133,2,3,3,3,0,96.0,120.0,False,30,24,4,2,True,True,21,70.0,0,6,3,15,6,0,0,3,15,6
Acute steep,EWOC during + final,False,134,2,3,3,3,0,96.0,120.0,False,30,24,2,2,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,135,2,3,2,3,1,96.0,120.0,False,30,24,4,1,True,True,6,20.0,0,6,18,6,0,0,0,18,6,0
Acute steep,EWOC during + final,False,136,2,3,2,2,0,96.0,120.0,False,30,24,4,1,True,True,6,20.0,0,18,6,6,0,0,12,6,6,0
Acute steep,EWOC during + final,False,137,2,3,2,3,1,96.0,120.0,False,30,24,4,4,True,True,21,70.0,0,6,3,21,0,0,0,3,21,0
Acute steep,EWOC during + final,False,138,2,3,2,2,0,96.0,120.0,False,30,24,5,0,True,False,6,20.0,0,6,18,6,0,0,0,18,6,0
Acute steep,EWOC during + final,False,139,2,3,2,3,1,96.0,120.0,False,30,24,5,2,True,True,15,50.0,0,6,9,15,0,0,0,9,15,0
Acute steep,EWOC during + final,False,140,2,3,2,3,1,96.0,120.0,False,30,24,4,3,True,True,3,10.0,0,9,18,3,0,0,3,18,3,0
Acute steep,EWOC during + final,False,141,2,3,2,3,1,96.0,120.0,False,30,24,4,2,True,True,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC during + final,False,142,2,3,2,3,1,96.0,120.0,False,30,24,3,3,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,143,2,3,2,3,1,96.0,120.0,False,30,24,3,2,True,True,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC during + final,False,144,2,3,2,3,1,96.0,120.0,False,30,24,4,3,True,True,18,60.0,0,6,6,18,0,0,0,6,18,0
Acute steep,EWOC during + final,False,145,2,3,3,3,0,96.0,120.0,False,30,24,3,3,True,True,12,40.0,0,6,12,12,0,0,0,12,12,0
